config,overdraw,overdraw_ci,exposure,exposure_ci,exposure_p95,utility_frac,utility_frac_ci,exec_pre,exec_burst,exec_post,exec_w0,exec_wlast,n_denied,n_honest_denied,n_reauth,approved_charge,approved_exposure,sibling_exec,frag_moved
e11_budget_n50,0.0,0.0,119476.47462134152,1690.6591010449833,143871.31367828706,0.19906930540566242,0.002068724934071769,0.9995319087451272,0.13904366905532173,0.003476287096329671,0.19906930540566242,0.19906930540566242,117.80666666666667,117.80666666666667,0.0,0.0,0.0,1.0,0.0
e11_local_n200,1.0,0.0,2424902.6934083714,15120.24490139799,2664216.876220568,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
e11_budget_n200,0.0,0.0,119096.49766781683,1649.754230319229,142783.05806777268,0.04924500756253772,0.00024479171815107383,0.6634955984778432,0.006162654137904423,3.105289396191794e-05,0.04924500756253772,0.04924500756253772,562.5366666666666,562.5366666666666,0.0,0.0,0.0,1.0,0.0
e11_local_n1000,1.0,0.0,12120723.688888328,31589.0691617031,12571154.021379761,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
e11_budget_n1000,0.0,0.0,122256.42124936404,1724.1509614584404,149245.50176885363,0.009920902570428011,2.2778198709857973e-05,0.17339327953356726,1.4316064564909022e-05,1.389845305305526e-06,0.009920902570428011,0.009920902570428011,2914.8766666666666,2914.8766666666666,0.0,0.0,0.0,1.0,0.0
e12_burst_x0.5,0.0,0.0,118481.54453534208,1569.913406160261,143291.05575514113,0.3438554944637229,0.005138395621799285,0.9989477269162372,0.282311626826391,0.006929297170221182,0.34385549446372293,0.34385549446372293,55.97,55.97,0.0,0.0,0.0,1.0,0.0
e12_burst_x2,0.0,0.0,119760.25818717037,1627.4279792232203,145595.1320540061,0.10761206051272436,0.0007862169735069242,0.9989477269162372,0.06933434217612713,0.0033931359953858964,0.10761206051272436,0.10761206051272436,242.01666666666668,242.01666666666668,0.0,0.0,0.0,1.0,0.0
e12_gamma_0.90,0.0,0.0,137773.30920242475,1643.6333856006897,161553.10087721073,0.2278254614529003,0.002533972182679828,0.9997487242394465,0.17453781718621703,0.003570977455619399,0.2278254614529003,0.2278254614529003,113.32,113.32,0.0,0.0,0.0,1.0,0.0
e12_gamma_0.99,0.0,0.0,96514.59001175255,1458.6115789871506,118877.39176694964,0.16067289623542808,0.0016541963524652258,0.993581859808155,0.09530518239451137,0.003684184084631778,0.16067289623542808,0.16067289623542808,123.47,123.47,0.0,0.0,0.0,1.0,0.0
e12_heavy_tail,0.0,0.0,121047.95205846544,1666.0797050628357,146592.62955173757,0.2294972043119453,0.0029547647400932197,1.0,0.17622024311252055,0.0036189486866577583,0.2294972043119453,0.2294972043119453,99.85,99.85,0.0,0.0,0.0,1.0,0.0
e12_corr_b4.0,0.44333333333333336,0.056309708423393647,237399.75964201664,5512.303747483142,310987.00560721377,0.19869566659200003,0.0020625886596981934,0.9982774801658022,0.13921415772096662,0.0033577427598363795,0.19869566659200003,0.19869566659200003,117.94666666666667,117.94666666666667,0.0,0.0,0.0,1.0,0.0
e12_corr_b6.0,0.61,0.055286321918756244,260801.03021581547,6476.761608912004,346099.8184863741,0.19857014199173728,0.0020582524715577846,0.9982774801658022,0.13905106269013226,0.0033333333333333335,0.19857014199173728,0.19857014199173728,117.95666666666666,117.95666666666666,0.0,0.0,0.0,1.0,0.0
e12_corr_b8.0,0.6666666666666666,0.05343357358048933,274754.85549299506,7049.460740052137,365025.1379097127,0.1986037084670987,0.00205820814368592,0.9982774801658022,0.13913319917887074,0.0033333333333333335,0.1986037084670987,0.1986037084670987,117.96666666666667,117.96666666666667,0.0,0.0,0.0,1.0,0.0
e13_budget,0.0,0.0,120010.0620331183,1638.1644693577525,144662.7288663367,0.19940104639866854,0.0020154210147831334,0.9994939965131158,0.14474961915395518,0.0034615582672427184,0.1994010463986685,0.1994010463986685,117.62333333333333,117.62333333333333,0.0,0.0,0.0,1.0,0.0
e13_breaker_d0,1.0,0.0,258530.89980950535,800.053321774054,272600.8717039151,0.4327435468438271,0.005956758362821573,1.0,0.4199010431162305,0.0033333333333333335,0.4327435468438271,0.4327435468438271,84.11,84.11,0.0,0.0,0.0,1.0,0.0
e13_breaker_d10,1.0,0.0,360732.56745542656,3083.138598909797,407558.6751404202,0.6010304167656514,0.007171636868468704,1.0,0.6212962732324229,0.0033333333333333335,0.6010304167656513,0.6010304167656513,59.42666666666667,59.42666666666667,0.0,0.0,0.0,1.0,0.0
e13_breaker_d50,1.0,0.0,559125.598535064,6791.921887127049,657764.092243896,0.9240203920078021,0.0047950895409009315,1.0,1.0,0.06535787422648023,0.9240203920078021,0.9240203920078021,11.443333333333333,11.443333333333333,0.0,0.0,0.0,1.0,0.0
e14_colluders10,0.0,0.0,120758.38922714512,1164.711499422358,136887.80310254567,0.11601082700617094,0.0012504840829750522,0.5430561555187817,0.08568250105973776,0.010296316746783135,0.11601082700617096,0.11601082700617096,1106.6866666666667,97.42,0.0,0.0,0.0,1.0,199600.0
e14_colluders20,0.0,0.0,120171.80529079596,1141.4712377968247,137305.60463491088,0.033289695897690624,0.0004303892094847653,0.3462289363040899,0.010026175526326972,0.010034359923944886,0.033289695897690624,0.033289695897690624,1102.0166666666667,82.78,0.0,0.0,0.0,1.0,398033.3333333333
e14_colluders40,0.0,0.0,120285.15958200181,1108.4292161277306,136310.0980191524,0.004394291323005202,0.0005845534051417002,0.06514640380513524,0.000406111567532073,0.01,0.004394291323005202,0.004394291323005202,1099.9033333333334,29.076666666666668,0.0,0.0,0.0,1.0,468666.6666666667
